iteration,duration,loss,accuracy,start,game,winner
17,100.481,1.4460840193542275,0.5639867966764047,[1, 7],74400552200886622336688445577331188001122663300333344443355000044664477667755448833887788558811006655337711441155116880255,2
18,74.793,0.6941776197189974,0.5639867966764047,[1, 8],82255770033552244337766664400113388880077114422333311661111556655883344774466008877336633206,1
19,77.674,1.418600194277201,0.5639867966764047,[2, 0],07766335588004422881177113344665533667744112255001144331188221155552266664444773333777755448166022,2
20,112.75,1.3944730112497699,0.5639867966764047,[2, 1],133664455002277556677338800115588884466337744007722661111443300557788333355447700441600668855553322881488603344224310800515220232225,-1
21,83.125,0.739367937225256,0.5639867966764047,[2, 2],23300556677441188884477335500115522110066338877558800331166883344220088661111440000446644554488260025312,1
22,99.636,0.6576602776385653,0.5639867966764047,[2, 3],3443311550044667722885588660077111100664455227766880088447777441144442255448833332266337755773303888611336655551186662244056,1
23,81.362,0.635985250487326,0.5639867966764047,[2, 4],4551100883377661133665588007722884400115544227733116666774444888866221144334466005522002255006322641,1
24,88.329,1.437078868390057,0.5639867966764047,[2, 5],5008833667744004411771166228855773333115533884466556600775555110000554433442211113377664444552200118244827,2
25,78.017,1.3997615609687328,0.5639867966764047,[2, 6],6887711445555004466002233881133772288006677334411553300777788885588440011661111221177442222054434866644744,2
26,93.336,0.6700153506713347,0.5639867966764047,[2, 7],744665500553311007722883388116644556666111144441177112211334477667733777788448888008877586688224433336600118850400060302,1
27,82.161,0.6346377168374249,0.5639867966764047,[2, 8],855001133772244667733118866445555884400662233447777666600444422668888002277881155221111448877557710551088320,1
28,71.579,1.434387538248098,0.5639867966764047,[3, 0],044552277661188110066554433778833668822117700558866447722002288884400335577446633332244814,2
29,83.704,0.6313651713522906,0.5639867966764047,[3, 1],155776600224422008877556688441133226644558800553355114433773344777744886677885555228811888826336611117711250,1
30,85.979,0.6190166059759753,0.5639867966764047,[3, 2],2556611334400447788662211887700554488552288110033666600111122771177220022441144558844333377442007331555335504644,1
31,101.101,1.4771799177224216,0.5639867966764047,[3, 3],3005511776688442277226611558800223344771144885522881188887733113388335500003366446633774455441166778866512820844400604,2
32,94.699,0.635827434874323,0.5639867966764047,[3, 4],4006622774411778855112200558866333355668800221144772288883300001111555500770033116644442255224466661180445322260,1
33,81.225,1.4613429408692156,0.5639867966764047,[3, 5],51100228877444466667711338800552200447722112255663366000077775544884422770088117788331188885411622,2
34,82.791,1.4509819317237533,0.5639867966764047,[3, 6],6220088441133555566778822777744002211448811552233006600446666111188558800551122442255447733770388887441610,2
35,83.656,1.4465137326782276,0.5639867966764047,[3, 7],788228844554411776611220055006622335511448877334400336644331155552222772255886677000011004422113188885088002244607,2
36,85.604,0.6595760987528454,0.5639867966764047,[3, 8],81166002255884477113355776622440011880033774444226655228877000066332277221111446677778566117753448366841,1
37,80.16,0.6432224984111383,0.5639867966764047,[4, 0],00055223377664411113388668877551122667788332200445566554444222211006633007700882277228880333355777733102,1
38,88.587,1.449741414255221,0.5639867966764047,[4, 1],10033227755336600888844665522117777220011668855443300556611112222333344226677887711448866447730444454000077463,2
39,80.968,0.6438571824794196,0.5639867966764047,[4, 2],2336600111188550077667788331144552288441100004433003344661166665511555566332277220022448255335177475,1
40,96.137,0.6226731230773525,0.5639867966764047,[4, 3],311557766772288558800334422006633661144551177440077881166668866004488441111002222337733224466555533554771221188883388213,1
41,91.662,1.4745170443717386,0.5639867966764047,[4, 4],48855113333227777666611882255000044220088335577116622338866774400660077556655887788002288117722443638441111526,2
42,76.413,1.448759641542667,0.5639867966764047,[4, 5],5660022336688007777551144882211335500667788443322441111776655228866444422554400883333115533704,2
43,89.939,1.4507463601290183,0.5639867966764047,[4, 6],677552288118833003322114477006633664455550077220011337788441111558855773355334433176622225515666600226688661422748,2
44,92.472,1.3853404299075696,0.5639867966764047,[4, 7],755110088882222006644336611773355774422881166553300115588662266776688770044441122331111334466338211802277225522440,2
45,91.446,1.3430167252043737,0.5639867966764047,[4, 8],8225566007755003322116677338811440055884466553344330000668800110088772277002288661188883232404717774787664666263,-1
46,96.884,1.266825424595323,0.5639867966764047,[5, 0],0668811332266004477771155448833334400222211774455886655663366441144330033551122001188227700555533772244225877338888523311110807576,2
47,75.135,1.1687943200253035,0.5639867966764047,[5, 1],1332288000066554477667744881122333366884400772244666622005555222277118833885577001111003300426,2
49,99.119,1.129051968967466,0.5557347194293736,[5, 3],311002288443366557711446688007722006622554488227733551177774444118866663388883333447700881122660000111156775877823,2
50,89.436,1.0580437962327311,0.3826687407519824,[5, 4],47700112211006666882288335533774400334466778866008855558844330000551166115500226622448811336633888803114411765,2
51,91.149,0.9469965781977027,0.3823652160716318,[5, 5],52233004488447711227766661188333377000066225511550077774444226677332288003366334411117722116600524811320088622,2
52,72.634,1.1665228781185475,0.38509693819478696,[5, 6],644883377220033110088115577662233228844440077116655446688552244112222666633447700442211117777345,1
53,88.779,0.9374073580041627,0.3823652160716318,[5, 7],711886644226611008833004455223377881166773322440011558855114488772288225533338888007755556600221055484,2
54,92.375,1.2070833108063799,0.3823652160716318,[5, 8],82244440077113333006688556611772277005544228844664488660011110044115555336655000033551166331184338200262,1
55,94.97,0.8687742329057759,0.3823652160716318,[6, 0],07777224455333311220066888844441100558822661177003355554433665500113300008833887711118866222233221166776645663377334277528,2
56,105.414,1.2757934155651185,0.3823652160716318,[6, 1],10055887722447733336600881144225500112266557777883344556622337711338866888800770033552433111188266677664463002000448855553400644,1
57,78.98,0.8676732192955,0.3823652160716318,[6, 2],288557700221100337766444488115533441188220066887733550044223311661144558866775566665522660088007788324,2
58,116.348,1.2792040198699663,0.3823652160716318,[6, 3],3885577001188221133772244556644005588114433220044776688006677884488662288887744661177333366555533551166008833115500002222334422666525475123011107177,-1
60,71.921,0.9352297307000287,0.3823652160716318,[6, 5],5228833227711443300558800664477221166003377556611334488557700882233338844662222663311220022536,2
62,97.758,1.2068262612369964,0.3823652160716318,[6, 7],777221188003366448855441155002233556611337744008822883311220011110000771166222277881144446655226633334477553300668877066,1
63,83.052,1.1187324553449667,0.4971544561217134,[6, 8],855117733332222004477660088115544558822114400771133884488003300225522778866224466777700666655000355775377436,1
65,82.125,1.0283273310184664,0.5639867966764047,[7, 1],1335544008866334422228877556611880077221100443366557788338811116622446600114411551122332255885844820,1
66,87.183,0.8747222843127312,0.5639867966764047,[7, 2],2550011440033446655883366778811224488663355447733117777668800887744118888444433771100220044221166006622228822638,1
67,90.688,0.7556842779090065,0.5639867966764047,[7, 3],30066224411005511333366558888227744228855664400771188770000884444337722221177886688115577552202663344555544666611467,1
68,95.778,1.3235496155681215,0.5639867966764047,[7, 4],4001188661100335522772255336644557733882288004466770077771111330022223311555500005511444422448844337765620267558415478,2
69,86.498,0.7393928606643116,0.5639867966764047,[7, 5],522881133774433008866442211550066773333448844000011114466226655661122441100335544555588553388718888225512027,1
70,87.91,1.336322716211672,0.5639867966764047,[7, 6],65533221144000011882244775566883344661177223366664488551100557788660066770088002277187772063268454255888812822555250,-1
71,91.493,1.2528859426109376,0.5639867966764047,[7, 7],72288443300226666554455118800331111006633448855774422223322441177001122113366886600883333771144447756220007838,2
72,75.888,1.1361757880848165,0.5585233524300944,[7, 8],8114422553300661188446655227733223355440077443388005500887755110011666600220044882211226622844,2
73,84.328,0.8919355730432363,0.5639867966764047,[8, 0],044662211774455006633558833771122447733005566881144110022338888220000775533334422551133667777664480115544044,1
74,95.922,0.7200961933177394,0.5639867966764047,[8, 1],1114433007722446655227733558822663366442222557711775544008855551133888800445500556322110033118877886011553164777704883128474,1
75,76.204,1.3079958644115532,0.5639867966764047,[8, 2],21100446600663377443355552277113300118844556677228877336611664422007755888855448800550088333344186,2
76,68.473,0.8136918772084983,0.5639867966764047,[8, 3],30055661144331177007744666622225588002288555577226600008877771133227788884400111188116211524,1
77,84.864,1.3184015081352816,0.5639867966764047,[8, 4],42211550033664466337700228855771111883322007755660066888877881177774477330044880133114433335533845555425512624,2
78,86.128,1.269446660019893,0.5639867966764047,[8, 5],5770022332244441166001133775566880088664400448811112222882277221155003333553300773311006588887788438343674767114771718,-1
79,99.542,0.8302101337389016,0.5639867966764047,[8, 6],6770033111122334455007722448855116644665588227711552288881100004411884433883300880022220011760066225633726611368876614404244,1
80,91.997,0.7893172321752199,0.5639867966764047,[8, 7],733880022665511113355440044776677003322552200112244884433666633331166110066882222888833005555885572108864644,1
81,91.802,1.391851800390629,0.5639867966764047,[8, 8],8003377116644557733550022224411226655660044882211331100006622007766772288338855886633008544647780551700144,2
82,106.839,1.2904930936953292,0.5639867966764047,[0, 0],0112255338811446688227744556677558833220066113344773311663300335511885555005544111100886600440022888844333366687482337422115442422,2
83,88.861,0.7960192099820224,0.5639867966764047,[0, 1],100446633118833778844226677555500222277113366443388551122554411556688666655223300882288162244887744447766107,1
84,77.266,1.333992799656868,0.5639867966764047,[0, 2],288445577113366448855337700117755880066224433114422220033008888660055115566338877881666772503268545255,2
85,90.807,0.7629423119045199,0.5639867966764047,[0, 3],3445588113366770022116688775522774444330088885566557722446666115511884400663333114488001111771100773388335555460,1
86,79.347,0.7273565741093194,0.5639867966764047,[0, 4],41177335533882266557766221144880011337755007788442233115566888866664477008877224400663322502288367777120,1
87,102.959,0.6349718974366179,0.5639867966764047,[0, 5],522117788337744661133442255668877000088662244885544001166003322227733007722338800445500226511447755328844111128118064344,1
88,91.715,1.4053303543723332,0.5639867966764047,[0, 6],677117733224433446600555588882211663377441122008855003355662277007788111144442222884488004455336611331155440644730,2
89,92.586,1.3399879561572423,0.5639867966764047,[0, 7],7445533228811118866667755443377227700660055882211663311222233330033888833441144002244442255556000117711008877780155013,2
90,79.054,0.7582839262748761,0.5639867966764047,[0, 8],866445533228800112277117766335544442211003388557788223366665500224411551144000077006111881133116377773333026,1
91,76.422,1.307933702263009,0.5639867966764047,[1, 0],0447733551166662222774488558800225533006611775500005566008844442233882266552244663366481155788,2
92,94.415,1.276145640037425,0.5639867966764047,[1, 1],16600225588334400554477226633228877557744117733668855224466448888661188110000667788001155112211330077008822004311455508438,2
93,95.517,1.0833623966167811,0.5272982509390295,[1, 2],2337700664488553322775544110088667788226600115588114433551166665566220077776633334477338833104400552244228800336455044,2
94,104.825,0.9603507792641042,0.382972265432333,[1, 3],3664488555522880033776677442200111177334400661188225500445566887700005533110022662211224466007333008844114433558888332271665514744,2
95,74.239,0.8051739780380021,0.3823652160716318,[1, 4],47755006611332266443300887788225577331111666688118888660044667722221155552244885588001122884411707,2
96,96.872,1.2914850278717354,0.38467959175930494,[1, 5],50077663344228800112255447788336611002266773311887777557722224400888855552277000044882216664466558844333300337744171,1
97,93.392,0.7996994886098231,0.3823652160716318,[1, 6],666003344115522884477882277335500004433668800661133111122333377114422117766445533225511883388555577554444663304024,2
98,89.676,1.274767946669414,0.38414842356869144,[1, 7],722884433550033660055116644887777338822661144118833775566665588555522770022557788006622007744222088146455344,1
99,91.36,0.7942546883134209,0.3823652160716318,[1, 8],85533004400774422667733228866551111225588337755448888222244445566884466664411443333881100552211780000113311560,2
100,100.351,1.2027033107045768,0.43134651136320523,[2, 0],01188334422771155770033666655448822663388774455002233113355117777661144110000888800553377556677886644446624760071252,1
101,97.723,0.821161222935228,0.3823652160716318,[2, 1],133115544880077223388666655774400006622778844118833551177332222667766005566446688775555008811445588552257002200147,2
102,101.078,1.0932917360455545,0.5053306521986569,[2, 2],20066445577117766885533884411332277335500881144004422660033002233777722112255665555224100775548882288778833118800111156663618662,1
103,92.697,0.860175475897909,0.3963083810752362,[2, 3],311886600556688441144775500773322221177883300664455554488004400003355220011553366662255810086771122443377446722876,2
104,75.582,0.7426216880745006,0.3824600675342414,[2, 4],4440088116600775566113388335577228866551177003322776677885588882266445555004466663155447066210,2
105,71.773,0.6815686931132131,0.3823652160716318,[2, 5],544331166334477888800221155667700773366008844111122330055001100006666114488332244668866458,2
106,96.738,0.6493212194141239,0.3823652160716318,[2, 6],61177004455220033335588116688774400773311442288665511223322225533006666227722146644883388880055778844441766743,2
107,83.058,1.4474728569462045,0.3823652160716318,[2, 7],733330011550044885522446677661188335511228844005533442222666622110077117777445566886644770022008877557788254,1
108,84.102,1.3993933875218987,0.383389611867815,[2, 8],88811440077776666552244331100335588441133006677555566116644557700553333222255008855444422772264880000138,1
109,82.713,0.7332311911673094,0.3823652160716318,[3, 0],011778822666611334400775588445522227711665544880033224466770044774444114433338833115555776688550644237,2
110,94.487,1.4283002620795548,0.3823652160716318,[3, 1],122660088667755227744448855003333442211881155770011663377778833668822006611000044664455666588002233553322243301338415140,1
111,75.892,1.1431977706999412,0.42446029517775163,[3, 2],266775500001111338877884455664422880033112244665522110055558855770077776688660088337733004400641,1
112,79.264,0.7197975462616351,0.3887582046515157,[3, 3],3221166004444775588112255778866665500114422880077335566883377117744330033661100226677227700006224115400511,2
113,82.968,1.2789881311512887,0.4667640475016125,[3, 4],411226677000055778811448866552222337755663300443322118877224455444466008888220066110011666400258800331133638,1
114,82.167,0.9470221392102272,0.5524149182380392,[3, 5],55522441100447722118877006666881133002277774433885566776600005511665500336644008822884488832255442222062,1
115,71.614,0.785052609175452,0.5640057669689267,[3, 6],622115544110044882277007766558855228833113300332244447722557744220022664455111122340,1
116,70.208,1.2285311729656265,0.5195773418826118,[3, 7],71122006655880044224411886677335555221144002288887722662277775511333366661155334788557706883646360,2
117,97.446,0.6973072057944294,0.5617672724513412,[3, 8],81122557744006611883355442277000088662266441155663377778800224488447766887722223344552211114466004443220011005511666677117756536,1
118,97.755,1.4386103061727762,0.5489623249990515,[4, 0],0551133662200774466338822115588775522667733118800443322335500222244228844441122776688661166488830008811777722570037111148510,-1
119,82.18,1.024683763212766,0.4126607732291232,[4, 1],1330022661155668855443377778822446677551100332200884400663366660077117766221122887700553311116655557733574,2
120,101.798,0.9382932845115244,0.5597943620290625,[4, 2],2006677112233884400115577558866333311002244776655664444117777443377330088772222883344655522113368553322618888005512770455048,1
121,87.941,0.66743351380098,0.5643282619417992,[4, 3],38855226677110033224488005511664477001177663355777788111155882211884400006622887755441144666838820022522,1
122,94.627,0.6756944011504432,0.5640626778464924,[4, 4],41122008833225511776655667700663388221188004400773355442266660011558855553311116688447777227755222866113366233344546,1
123,78.007,1.3700020000335935,0.56413855901658,[4, 5],56611330077224411668855337788002266008811776633225555442233667755114488664466665588444433552066210,2
124,77.951,0.6120745049618724,0.5644989945744964,[4, 6],6115533000077224433888855227766001144226677112211113355445566550066668866440088447733334415887744483,1
125,90.007,0.6480819346065122,0.5640626778464924,[4, 7],7003366225533118800558877661122444400882211773322220044226644556666335522330066555500110074111162886888581388334,1
126,89.158,1.4619578666555029,0.5641764996016239,[4, 8],83366001111555544008877662233772211338855770022664444556688881188222288443322441144220055000063551100447788617,2
127,76.384,1.3312968971394268,0.5590734909132299,[5, 0],02266114411884466887722337700553300662277442288331100885566778888665555225544558822224477660644066,2
128,81.674,0.6983544199185296,0.5646128163296278,[5, 1],18822443311776677880000336644002255558811557755222277226622335533006611116633446666554422004455044484728,1
129,89.453,0.6117457987695307,0.5641195887240581,[5, 2],26644117733000088881144663377550033221188224488667777444422004400222255880011005544336666228855331111551133334600768,1
130,75.539,0.6450586721658003,0.5639867966764047,[5, 3],344221166117722880044776600883355443388557700226677332233336644005500331111882222555522445560007888448870641,1
131,74.117,0.6339926113938927,0.5639867966764047,[5, 4],40022113300666677552288117788334411662200884422777711888877003311112222332266110077663377404,1
132,85.956,1.4641626992376686,0.5639867966764047,[5, 5],51166338800774488223322001177664422883344110066772244668888118855886600003355331111443300445566605544484155012,2
133,88.276,0.6024939910629045,0.5639867966764047,[5, 6],677008822118844113344002233775511663366228800445577776644331111448855554477442200778811550011224446552255300,1
134,93.159,0.5752720199976992,0.5639867966764047,[5, 7],70033664488002222117744663388115500775588224411661133226655553344773377118877667777888844556666883311006621443333500,1
135,69.86,1.4901076231036685,0.5639867966764047,[5, 8],8883366002277111133006644775544225566228877441100448811223377332244333388666677663355557777844,2
136,84.374,0.608387159764197,0.5639867966764047,[6, 0],0772244552288116655334477880033331177442255118833006677110055557700008822002266223388441128664400115566113355804,1
137,82.306,1.496570327336117,0.5639867966764047,[6, 1],15522004422880033118866445577773322443300558833666633551144440011002222774411337700775566772233347716878264648,2
139,72.639,0.6045363858630038,0.5639867966764047,[6, 3],31122008844338855115577447766224400668833005544223333441100228811664466111177118877778888667708222277521,1
140,93.767,1.5238579323615737,0.5639867966764047,[6, 4],4446633225588001155771100887722331122773300556688224433881144550033337700221111777755334355113366228677406611666600400,2
141,95.38,1.498949209152637,0.5639867966764047,[6, 5],5221144332277330077884466881100551188224477776666774400661177113333775566448800111125558833444455772388885500335533670,2
142,85.599,1.4554552352526298,0.5641575293091019,[6, 6],6883388225500116644110077442233775555117733224466113333443300888800335544006655886633660000218844887144704,2
143,67.186,1.3829834806430077,0.5644231134044086,[6, 7],74411118833006622557700445588223377660033554422881177888844440055112266668866443344680,2
144,96.402,1.1546016541913744,0.5237508062374322,[6, 8],88811772211003355224444550066223344771133776600551122220000226611441166663300118877442288665466431,2
145,80.596,0.8085288583296124,0.5603824410972417,[7, 0],0338822111144556688006655223377112288774433004400222266446633558855551188447788334444113311553488877,1
146,80.819,0.6579283938299976,0.5641195887240581,[7, 1],1555500664422338811770088224466333344007755111166112211335533118844336655886666227766028888337733020,1
147,108.759,1.4947238317005584,0.5625829950297834,[7, 2],24400118877332233550066668844551166778811225533447700338833337766110022114466444422008866228822754488005522260075704365600313058888555,-1
148,70.163,1.3130961110696586,0.5459081079030239,[7, 3],35588112244553344002266007711887744661133220066885555447788664488882277000033880088367,2
149,93.171,1.3895853745395979,0.518913381644345,[7, 4],4008855887733113322115566006644222200334466882244335500772255117777665577881188886611114377538842333276766632883108062261612,-1
150,102.465,0.7390178245786629,0.5625071138596958,[7, 5],544001122443366008833226611885577667733115588446688111133338822887777110000778866337700666622223300550031665535664200480,1
151,108.638,0.667984435222008,0.5639109155063171,[7, 6],6550022334411118888443366227700445577553300112266778833222200007744661155556644447733771133887771642358281148010,1
152,82.55,0.6120369597824269,0.5640437075539705,[7, 7],72266445511110022005588334433886611776688225544003377114477000044224444880077888844662233553366773333101,1
153,76.613,1.4853118444555768,0.5638729749212733,[7, 8],833225511000044445566662211118877773355223366448800663344665577555544774400114422886600888854320022422,2
154,95.84,0.6165096985992319,0.5640816481390143,[8, 0],04433667755112233441166227700885522118844555500663377440011444422226666553322886688777766113355882200215566003300073,1
155,71.176,1.488822264206072,0.5639867966764047,[8, 1],12244337766770000556655118822008833442266117733885588445555336600441155440033002222332255006644746,2
156,85.053,1.366669170745514,0.5613309557233372,[8, 2],24411665577440033772200663311775588661133884477111100005555666600226622552211443344442277007733228087668466748,2
157,98.899,1.4511881905403505,0.5551276700686725,[8, 3],344115577003322008811667722446655004455331122778866337744221111447711888855880077775522884488776666002444001177351436482686162,-1
158,81.366,0.7180160341170426,0.563512539363357,[8, 4],40066778866117722552211335544330044228800337755666644111100116600002244447700882266883344881122331144571,1
159,86.493,0.6363691724645022,0.5637022422885761,[8, 5],5114422332200446677335566001188775577882211336644005522661177770088663377448811007766550033112844447533006666811,1
160,97.877,1.3346855826150463,0.5511059680540273,[8, 6],622334400335511007744887722556611226677001155883388444422882244771111446600557766663366441177337780668211331164332222004020800,2
161,89.454,0.7115813017717303,0.5637781234586637,[8, 7],722114466558833005533227700116644775544008811220000443344223377333366774444552244886688006600338828441566350,1
162,76.772,0.660934746699671,0.5639488560913609,[8, 8],8110055447722226666770011113333445566338822007744330022118866228855227766004411224444008800617422546,1
164,80.603,0.6109380102073012,0.5641575293091019,[0, 1],13388446677002277552244331155886622117766003355448888556688004422000077112266441100881111883377773300528,1
165,96.059,0.6042970211747245,0.5640626778464924,[0, 2],211443311882277886633664477550055332288441166008877337711333344222233551122662244883388881177225544665566776666885588011,1
166,81.038,0.582936118584348,0.5639867966764047,[0, 3],388552211442277445566660011778833331155448822006655335500007700886688884466771133222244112266228477661166325,1
167,77.159,0.5853631504794742,0.5639867966764047,[0, 4],4442277113300556633886655118822007788331177225544668844111155335555226677774433222244002211228066266,1
168,92.62,0.5669010894698839,0.5639867966764047,[0, 5],544223388771155116600886633772244446688002211774455557733004433553311118833666622220077665588884266112277552811377788203,1
169,86.155,0.5890277598935514,0.5639867966764047,[0, 6],6441177220077551188335544886633222233887700446655331166667766227744228855556600888822447733336688043344550844044,1
170,80.77,0.5766242314447904,0.5639867966764047,[0, 7],777336611558888112222660033445522440066221100111177555500557788228844335511441188332200446744280,1
171,105.591,0.5685176993352448,0.5639867966764047,[0, 8],86677443355118833112200227766554466334477221100553333668877557711556644558888228855550222661144223377773326081804441408448706266,1
172,66.425,0.5730188902791443,0.5639867966764047,[1, 0],033665522447777008866338811554444558822221177441122887711883311116611337788880011455,1
173,97.451,0.5706534757603356,0.5639867966764047,[1, 1],13322007766885522334444660088771188665533770055442222661144331100116666441155881177882300662555112577267753880000304,1
174,69.46,1.5178483254126325,0.5639867966764047,[1, 2],2550088667733440066558811772233338844220055330011666611114466447788887744882244551155557711302,2
175,101.73,0.5716460989204682,0.5639867966764047,[1, 3],3447722008800666655558844332277112288117755660033114488661155000044005544442255330022445777667700778833882222664417446622188,1
176,84.017,1.5316095873015634,0.5639867966764047,[1, 4],43300556611227788448855770066223344118866000077773377440011772244775555003333553322221100220088228888331111536,2
177,72.186,0.5656266516962181,0.5639867966764047,[1, 5],53322006644227788334455776688001133667722556611000022887777007711114444112211882264008811658,1
178,105.361,0.5661064278100236,0.5639867966764047,[1, 6],644002233227788005577668855334455004433112211886677226611555544446666008822000066556622447700777733887744888843663355283377130033358,1
179,105.556,1.5337020056669726,0.5639867966764047,[1, 7],744882266775533665522001144338888006600223355111155550044554444224477883333773344118877112277772288666633216688146763170405730845685,-1
180,95.816,1.531588482492921,0.5639867966764047,[1, 8],86633225544330044001177558877662211448833667722445500770000334477885555771122006600228822777744113422366688844266411155322,2
181,79.955,1.4860413082027313,0.5639867966764047,[2, 0],055447788333311661122667700884455007722553388555522773322223366664466551111003344228633556711774411524,2
182,81.184,0.5701836427906832,0.5639867966764047,[2, 1],166448800338866773311554422557700775511008822663344117766002288113333771111222277772244661144555533550011865,1
183,96.984,1.526088201582482,0.5639867966764047,[2, 2],2668811337700445588007733116655442255003366771100006600556644008877775577888833885555330022446622334418461667601282021747227,-1
184,73.402,1.5068099259724734,0.5639867966764047,[2, 3],311004477773388886644552266001155448833006688005533442277222244332200337711775500221111333355770411840,2
185,92.007,1.5322934934847654,0.5640057669689267,[2, 4],411770066331188335544668822557777880000442233666655110011555533773300333344338866776644007744771133250080252564845164412051114,-1
186,82.756,0.5757311155284713,0.5639867966764047,[2, 5],53344771100338800668855446677551122332211441188778833550077002288440000886600556622444455777724288816466,1
187,80.918,1.51934979096819,0.5640437075539705,[2, 6],64400771155772288885533116600443388447700665544221133556666880000882222441177775522332255887766778811114445055,2
188,77.8,0.6146860521290933,0.5639867966764047,[2, 7],7886611440077555522336600884411333311556688004477220011888855881122228833005544665500664422116666753,1
189,100.034,1.5016363445811445,0.5640247372614485,[2, 8],8441155776633446600887700225511774433668811666644447711331144553333556622330055442211112277775553778077301614872266500,2
190,79.614,1.501063943908759,0.5642144401866677,[3, 0],0446688115522227788774455006633113366118822553322442211444400220088447777554411226677001166555566000056410,2
191,90.74,0.6503455683126305,0.5639867966764047,[3, 1],166002288553344117744775588220066330044221188773322223355225511556655003333664433880000511100886621440466744,1
192,87.942,1.5195855522046342,0.5639867966764047,[3, 2],2226655118844005577886633774422110088336600114444664477002233003333885566668888228800661488125555004673134355362585452,-1
193,83.897,0.608070293574674,0.5639867966764047,[3, 3],30066554400117722881166887755334422778822445511004466007700885555884488883355771111441188666677774622225522064266123,1
194,82.909,1.521404158398013,0.5639867966764047,[3, 4],4446677115500118877882233664400220055775588112266335566888800884422772222886611443300662244116600447744585,2
195,96.705,1.486606321077188,0.5639867966764047,[3, 5],500221188664444117722660088773333881100556688000033007700113322334433112222771144557744778833775544888855884422006462825247615771611,-1
197,71.825,0.5805692393339189,0.5639867966764047,[3, 7],722008811661155445588440077336622771100332266448855004466667766334477887700006688228882411177460,1
198,87.462,0.5764340776623443,0.5639867966764047,[3, 8],8005566117744883300225577224411666677114422660088884466885511552222112233335555332277881133110766337705443344087,1
199,89.148,0.5925815762719896,0.5639867966764047,[4, 0],0666688117755220033883322774411443311557788550022667777333366335555446644221100448800118822551122884446111168788,1
200,85.508,1.5188405946377075,0.5639867966764047,[4, 1],18833776655005588002233227711664433004488556622661177553311113388221122228888447777224422573344403677887701460,2
201,96.633,1.5200621639461716,0.5639867966764047,[4, 2],2331155003388006677885511447766224433772288116600225577001133222211220000556655553344441188668833330088775588254488440777317711066,2
202,84.535,1.4327418074948408,0.5640247372614485,[4, 3],32211667788668800772233550011554444887700661133442255660088881188228844111122226622773311776655114467445533075,2
203,88.68,1.3997091215679756,0.5608566984102895,[4, 4],477336600228800881122335566117755227766332244662222007777114411110044554400113311883333884488772300016705778584243,2
204,70.127,0.669151063833199,0.5638350343362295,[4, 5],50022337711883388662244117766005555443311667788228855880000884422551144447733334466557755368,1
205,94.278,0.6155313123805407,0.5640247372614485,[4, 6],633117722338866002211885555770044553322006644887711667788114433447744111133777755440035888822228844225522662244480000712,1
206,85.924,0.6088083025797358,0.5641006184315362,[4, 7],711886600115555228800337744336688770022332244550066665511662277773344222200772211330088882266776633331177584,1
